eval,batch,run,stage1_threads,stage2_threads,stage1_callback_batch,stage2_callback_batch,rate_hz,timeout_ms,total_frames,publisher_time_s,publisher_avg_fps,stage1_total_time_s,stage1_total_fps,stage2_total_time_s,stage2_total_fps,stage2_side,pipeline_e2e_s,ytopt_eval_elapsed_s,summary_path,run_log
62,128,1,4,4,256,32,0,500,10000,0.642,15586.58,3.453127,2895.93,3.404868,2936.971418568943,100,3.9581638560048304,17.75782361504389,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185644,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0062_b128_s1t4_s2t4_s1cb256_s2cb32_r0_to500.log
50,128,1,4,8,256,32,0,500,10000,0.6,16659.25,3.454286,2894.95,3.402267,2939.2167046266504,100,3.961114193953108,16.808176504040603,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185255,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0050_b128_s1t4_s2t8_s1cb256_s2cb32_r0_to500.log
60,128,1,4,12,1024,32,0,500,10000,0.635,15750.15,3.483202,2870.92,3.410706,2931.9442954039428,100,3.972356146958191,16.909359860001132,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185604,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0060_b128_s1t4_s2t12_s1cb1024_s2cb32_r0_to500.log
59,128,1,4,12,512,32,0,500,10000,0.626,15973.55,3.473852,2878.65,3.402157,2939.311736642371,100,3.9768539830110967,18.568317188997753,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185543,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0059_b128_s1t4_s2t12_s1cb512_s2cb32_r0_to500.log
34,128,1,4,8,128,128,0,500,10000,0.63,15861.37,3.477822,2875.36,3.024769,3306.037585018889,100,3.982354588981252,17.720567891024984,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184711,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0034_b128_s1t4_s2t8_s1cb128_s2cb128_r0_to500.log
16,128,1,4,12,128,64,0,100,10000,0.623,16053.06,3.533491,2830.06,3.321889,3010.3353844755197,100,4.0260951070231386,16.848884181992617,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184154,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0016_b128_s1t4_s2t12_s1cb128_s2cb64_r0_to100.log
54,128,1,4,8,256,32,0,100,10000,0.63,15880.84,3.545913,2820.15,3.480698,2872.986969854897,100,4.052536885021254,17.289593271969352,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185403,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0054_b128_s1t4_s2t8_s1cb256_s2cb32_r0_to100.log
14,128,1,4,4,128,128,0,100,10000,0.586,17069.9,3.507905,2850.7,2.701477,3701.6787483291546,100,4.0565587999881245,17.65985247900244,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184126,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0014_b128_s1t4_s2t4_s1cb128_s2cb128_r0_to100.log
30,128,1,4,12,128,128,0,500,10000,0.613,16322.41,3.488441,2866.61,3.099447,3226.3819965303487,100,4.0605374409933574,16.86181399197085,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184626,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0030_b128_s1t4_s2t12_s1cb128_s2cb128_r0_to500.log
43,128,1,4,8,256,128,0,500,10000,0.614,16294.92,3.559994,2808.99,3.080067,3246.6826208650655,100,4.0781670800060965,17.459546809026506,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185043,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0043_b128_s1t4_s2t8_s1cb256_s2cb128_r0_to500.log
57,128,1,4,8,512,32,0,100,10000,0.613,16314.17,3.565188,2804.9,3.429264,2916.0776189876315,100,4.094069804996252,17.259807228983846,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185503,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0057_b128_s1t4_s2t8_s1cb512_s2cb32_r0_to100.log
35,128,1,4,8,128,128,0,200,10000,0.608,16455.38,3.595465,2781.28,3.092442,3233.690397427017,100,4.112025064008776,16.866328835953027,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184731,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0035_b128_s1t4_s2t8_s1cb128_s2cb128_r0_to200.log
48,128,1,4,4,128,32,0,200,10000,0.604,16564.51,3.589644,2785.79,3.49807,2858.719236607615,100,4.114774435991421,17.263481511035934,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185213,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0048_b128_s1t4_s2t4_s1cb128_s2cb32_r0_to200.log
28,128,1,4,12,128,128,0,100,10000,0.604,16561.57,3.408123,2934.17,3.156993,3167.5711666132934,100,4.1170480659930035,17.419198617048096,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184545,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0028_b128_s1t4_s2t12_s1cb128_s2cb128_r0_to100.log
44,128,1,4,8,256,128,0,200,10000,0.612,16351.55,3.546087,2820.01,3.116701,3208.5208045301747,100,4.1286506010219455,17.062802478962112,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185103,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0044_b128_s1t4_s2t8_s1cb256_s2cb128_r0_to200.log
17,128,1,4,2,128,128,0,100,10000,0.6,16670.17,3.631846,2753.42,3.091386,3234.7950078055605,100,4.14427245099796,17.626536960015073,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184214,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0017_b128_s1t4_s2t2_s1cb128_s2cb128_r0_to100.log
63,128,1,4,12,128,32,0,100,10000,0.622,16076.84,3.645596,2743.04,3.586399,2788.3121760852596,100,4.155246936017647,16.859144561982248,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185704,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0063_b128_s1t4_s2t12_s1cb128_s2cb32_r0_to100.log
29,128,1,4,8,128,128,0,100,10000,0.598,16714.57,3.345265,2989.3,3.196978,3127.9539615224126,100,4.161794056999497,18.29978561302414,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184605,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0029_b128_s1t4_s2t8_s1cb128_s2cb128_r0_to100.log
42,128,1,4,8,512,128,0,500,10000,0.594,16826.88,3.613066,2767.73,3.092867,3233.2460464675655,100,4.174843148037326,18.791855291987304,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185022,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0042_b128_s1t4_s2t8_s1cb512_s2cb128_r0_to500.log
36,128,1,4,12,1024,128,0,100,10000,0.615,16255.2,3.291322,3038.29,3.165237,3159.321087172935,100,4.177336590015329,17.674921659985557,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184751,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0036_b128_s1t4_s2t12_s1cb1024_s2cb128_r0_to100.log
23,128,1,4,2,128,32,0,500,10000,0.578,17314.56,3.687926,2711.55,3.577126,2795.540330421685,100,4.184953176998533,17.217186265974306,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184409,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0023_b128_s1t4_s2t2_s1cb128_s2cb32_r0_to500.log
49,128,1,4,8,1024,128,0,100,10000,0.614,16284.97,3.398372,2942.59,3.182447,3142.2361472162775,100,4.191184098017402,18.33745342999464,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185233,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0049_b128_s1t4_s2t8_s1cb1024_s2cb128_r0_to100.log
21,128,1,4,2,128,64,0,500,10000,0.602,16619.28,3.675058,2721.05,3.434167,2911.91430119735,100,4.194192634022329,17.710084078949876,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184340,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0021_b128_s1t4_s2t2_s1cb128_s2cb64_r0_to500.log
47,128,1,4,12,512,128,0,500,10000,0.621,16093.5,3.401091,2940.23,3.240066,3086.356882853621,100,4.240208250004798,17.261989270045888,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185153,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0047_b128_s1t4_s2t12_s1cb512_s2cb128_r0_to500.log
38,128,1,4,12,256,128,0,100,10000,0.629,15909.89,3.640199,2747.1,3.297307,3032.777960923869,100,4.286197346984409,18.55549375800183,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184912,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0038_b128_s1t4_s2t12_s1cb256_s2cb128_r0_to100.log
56,128,1,4,8,128,256,0,500,10000,0.626,15966.05,3.467011,2884.33,2.000951,4997.623629963952,100,4.323388114979025,18.10794097802136,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185442,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0056_b128_s1t4_s2t8_s1cb128_s2cb256_r0_to500.log
27,128,1,4,2,128,256,0,100,10000,0.584,17124.57,3.340896,2993.21,2.356594,4243.4123145522735,100,4.59568098798627,17.418068605009466,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184524,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0027_b128_s1t4_s2t2_s1cb128_s2cb256_r0_to100.log
45,128,1,4,8,128,256,0,200,10000,0.612,16349.82,3.322695,3009.61,2.593661,3855.55398334632,100,4.816182134964038,19.108045558969025,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_185123,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0045_b128_s1t4_s2t8_s1cb128_s2cb256_r0_to200.log
18,128,1,8,2,128,128,0,100,10000,0.59,16937.47,2.673384,3740.58,5.924545,1687.8933318929976,100,6.876672217040323,20.40331183496164,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184234,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0018_b128_s1t8_s2t2_s1cb128_s2cb128_r0_to100.log
20,128,1,8,2,128,64,0,100,10000,0.604,16553.22,2.650299,3773.16,6.390391,1564.8494747817465,100,7.080752603011206,20.414492045994848,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184317,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0020_b128_s1t8_s2t2_s1cb128_s2cb64_r0_to100.log
11,256,1,12,8,512,256,0,200,10000,0.589,16971.46,2.317384,4315.21,6.66552,1500.2580443836341,100,7.971825062006246,20.912134575017262,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184034,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0011_b256_s1t12_s2t8_s1cb512_s2cb256_r0_to200.log
24,128,1,16,2,128,64,0,100,10000,0.619,16142.86,2.840375,3520.66,7.662029,1305.1373206757635,100,8.531803549034521,21.875968751031905,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184429,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0024_b128_s1t16_s2t2_s1cb128_s2cb64_r0_to100.log
4,1024,1,4,4,256,256,0,100,10000,0.596,16791.73,1.810324,5523.87,9.915488,1008.523231534343,100,10.815060070017353,23.8047230860102,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_183832,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0004_b1024_s1t4_s2t4_s1cb256_s2cb256_r0_to100.log
13,1024,1,4,4,1024,128,0,500,10000,0.614,16283.97,1.826298,5475.56,10.096222,990.4695043353842,100,10.868743151018862,24.114313669037074,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184059,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0013_b1024_s1t4_s2t4_s1cb1024_s2cb128_r0_to500.log
26,512,1,4,2,128,32,0,100,10000,0.589,16986.26,1.824743,5480.22,11.498156,869.7046726449006,100,12.119642429985106,25.30938791699009,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184456,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0026_b512_s1t4_s2t2_s1cb128_s2cb32_r0_to100.log
8,1024,1,8,8,1024,256,2000,100,10000,5.002,1999.23,5.713551,1750.23,12.203014,819.4696818343403,100,14.810041356016882,29.617841412022244,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_183905,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0008_b1024_s1t8_s2t8_s1cb1024_s2cb256_r2000_to100.log
10,128,1,16,12,512,256,4000,200,10000,2.502,3996.09,3.598992,2778.56,14.016837,713.4277155395329,100,15.466186920995824,29.117831040988676,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_184005,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0010_b128_s1t16_s2t12_s1cb512_s2cb256_r4000_to200.log
2,128,1,12,12,128,32,1000,200,10000,10.003,999.74,11.015227,907.83,15.713861,636.3808360020494,100,16.599323981965426,29.829656438028906,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_183755,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0002_b128_s1t12_s2t12_s1cb128_s2cb32_r1000_to200.log
9,128,1,12,8,128,64,1000,200,10000,10.002,999.82,11.005059,908.67,15.776246,633.8643553098754,100,17.178652697999496,30.233319191960618,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260512_183935,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260512_183723/eval0009_b128_s1t12_s2t8_s1cb128_s2cb64_r1000_to200.log
