eval,batch,run,stage1_threads,stage2_threads,stage1_callback_batch,stage2_callback_batch,rate_hz,timeout_ms,total_frames,publisher_time_s,publisher_avg_fps,stage1_total_time_s,stage1_total_fps,stage2_total_time_s,stage2_total_fps,stage2_side,pipeline_e2e_s,ytopt_eval_elapsed_s,summary_path,run_log
51,256,1,4,8,1024,32,0,100,10000,0.528,18956.43,2.501566,3997.5,2.476758,4037.5361662302093,100,3.027423008927144,15.96148268703837,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161524,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0051_b256_s1t4_s2t8_s1cb1024_s2cb32_r0_to100.log
63,256,1,4,12,1024,32,0,200,10000,0.521,19209.87,2.535132,3944.57,2.505175,3991.737104194318,100,3.0629278040723875,17.246055267984048,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_162036,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0063_b256_s1t4_s2t12_s1cb1024_s2cb32_r0_to200.log
53,256,1,4,12,1024,256,0,100,10000,0.504,19854.56,2.556596,3911.45,1.889813,5291.528844388307,100,3.1429376039886847,16.161021440057084,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161602,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0053_b256_s1t4_s2t12_s1cb1024_s2cb256_r0_to100.log
45,128,1,12,2,1024,32,0,200,10000,0.493,20268.41,3.239703,3086.7,3.13212,3192.725693779293,100,3.7672127640107647,18.036420576972887,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161209,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0045_b128_s1t12_s2t2_s1cb1024_s2cb32_r0_to200.log
26,128,1,4,2,128,32,0,500,10000,0.506,19779.0,3.277797,3050.83,3.235083,3091.1107999392907,100,3.7909770749974996,16.763641651021317,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160516,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0026_b128_s1t4_s2t2_s1cb128_s2cb32_r0_to500.log
50,128,1,4,2,256,32,0,200,10000,0.49,20421.79,3.302261,3028.23,3.228656,3097.2640008721896,100,3.830574536928907,18.549511202028953,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161503,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0050_b128_s1t4_s2t2_s1cb256_s2cb32_r0_to200.log
1,128,1,4,2,128,32,0,100,10000,0.542,18443.87,3.353378,2982.07,3.265366,3062.443842436039,100,3.868896487983875,18.03570506500546,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_154851,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0001_b128_s1t4_s2t2_s1cb128_s2cb32_r0_to100.log
31,128,1,4,2,256,32,0,500,10000,0.511,19577.84,3.459664,2890.45,3.391308,2948.7147731789623,100,3.962053010938689,16.960741497925483,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160701,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0031_b128_s1t4_s2t2_s1cb256_s2cb32_r0_to500.log
35,128,1,4,4,256,32,0,500,10000,0.541,18467.54,3.469336,2882.4,3.382804,2956.127520246517,100,3.9738928880542517,17.62468097906094,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160856,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0035_b128_s1t4_s2t4_s1cb256_s2cb32_r0_to500.log
40,128,1,4,2,1024,32,0,200,10000,0.484,20663.67,3.535157,2828.73,3.477109,2875.952407589178,100,4.061809330014512,18.9108666209504,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161019,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0040_b128_s1t4_s2t2_s1cb1024_s2cb32_r0_to200.log
44,128,1,4,4,1024,32,0,200,10000,0.513,19499.2,3.530134,2832.75,3.465317,2885.7388804545153,100,4.062623666017316,17.035388504038565,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161149,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0044_b128_s1t4_s2t4_s1cb1024_s2cb32_r0_to200.log
29,128,1,4,2,256,32,0,100,10000,0.55,18173.93,3.570705,2800.57,3.521283,2839.873989111355,100,4.079184470931068,18.673298163106665,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160619,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0029_b128_s1t4_s2t2_s1cb256_s2cb32_r0_to100.log
41,128,1,4,8,1024,32,0,500,10000,0.518,19295.8,3.546928,2819.34,3.476467,2876.483510414452,100,4.096082156989723,16.95842540008016,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161041,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0041_b128_s1t4_s2t8_s1cb1024_s2cb32_r0_to500.log
23,128,1,4,2,512,32,0,500,10000,0.501,19965.42,3.565568,2804.6,3.518084,2842.456291549605,100,4.1613757309969515,19.57653781794943,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160340,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0023_b128_s1t4_s2t2_s1cb512_s2cb32_r0_to500.log
38,128,1,4,2,1024,32,0,100,10000,0.516,19382.13,3.607745,2771.81,3.55328,2814.301152737752,100,4.172053535003215,17.209195047034882,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160938,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0038_b128_s1t4_s2t2_s1cb1024_s2cb32_r0_to100.log
30,128,1,4,2,1024,32,0,500,10000,0.54,18526.3,3.657104,2734.4,3.600199,2777.6242368824614,100,4.180842568981461,17.36119125201367,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160641,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0030_b128_s1t4_s2t2_s1cb1024_s2cb32_r0_to500.log
39,128,1,4,4,1024,32,0,500,10000,0.522,19167.24,3.673618,2722.11,3.611155,2769.19711283509,100,4.196803783997893,18.38816190196667,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160958,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0039_b128_s1t4_s2t4_s1cb1024_s2cb32_r0_to500.log
32,128,1,4,2,1024,128,0,500,10000,0.489,20431.89,3.673579,2722.14,3.219397,3106.171745826936,100,4.236448582960293,18.20339038397651,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160721,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0032_b128_s1t4_s2t2_s1cb1024_s2cb128_r0_to500.log
27,128,1,4,2,1024,64,0,500,10000,0.51,19590.52,3.784958,2642.04,3.577237,2795.453586105701,100,4.317941660992801,17.36280987400096,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160535,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0027_b128_s1t4_s2t2_s1cb1024_s2cb64_r0_to500.log
42,128,1,4,12,1024,32,0,200,10000,0.558,17922.21,3.731399,2679.96,3.706151,2698.217099087436,100,4.33016505104024,18.2389152739197,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161101,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0042_b128_s1t4_s2t12_s1cb1024_s2cb32_r0_to200.log
14,1024,1,4,2,256,32,0,500,10000,0.5,19982.72,2.318084,4313.91,5.692682,1756.6412457256529,100,6.219944415031932,19.366404059925117,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_155700,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0014_b1024_s1t4_s2t2_s1cb256_s2cb32_r0_to500.log
28,128,1,16,2,128,64,0,500,10000,0.516,19394.81,3.192662,3132.18,7.274079,1374.744486552868,100,8.23738253803458,21.37226324400399,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_160555,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0028_b128_s1t16_s2t2_s1cb128_s2cb64_r0_to500.log
43,128,1,4,2,1024,32,2000,500,10000,5.003,1998.94,6.088669,1642.4,9.840213,1016.2381647633034,100,10.975606162915938,24.418270759051666,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_161122,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0043_b128_s1t4_s2t2_s1cb1024_s2cb32_r2000_to500.log
17,256,1,8,4,1024,32,1000,100,10000,10.002,999.79,10.391326,962.34,13.682102,730.8818484177358,100,15.225378728006035,29.528162344940938,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_155928,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0017_b256_s1t8_s2t4_s1cb1024_s2cb32_r1000_to100.log
5,1024,1,16,4,512,64,1000,200,10000,10.002,999.82,10.635553,940.24,15.138914,660.5493630520657,100,16.629623721004464,31.56503859499935,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_155049,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0005_b1024_s1t16_s2t4_s1cb512_s2cb64_r1000_to200.log
2,128,1,12,12,128,32,1000,200,10000,10.003,999.74,11.067881,903.52,15.868135,630.1937814368229,100,16.971205886104144,30.86677455494646,/home/ashovon/drava/examples/ptychonn/bench_logs_two_stages/20260605_154909,/home/ashovon/drava/examples/ptychonn/tune_logs_two_stages_ytopt/20260605_154837/eval0002_b128_s1t12_s2t12_s1cb128_s2cb32_r1000_to200.log
